#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                  | delivered(/pb) | recorded(/pb) |
| 257819:4440 | 09/29/15 18:11:51 | 248  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.185          | 1.148         |
| 257822:4440 | 09/29/15 20:00:34 | 1388 | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 5.818          | 5.664         |
| 257823:4440 | 09/30/15 05:05:37 | 171  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.645          | 0.627         |
| 257968:4444 | 09/30/15 23:42:22 | 258  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.326          | 1.282         |
| 257969:4444 | 10/01/15 01:24:08 | 634  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 3.059          | 2.983         |
| 258129:4448 | 10/02/15 09:56:47 | 95   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.459          | 0.440         |
| 258136:4448 | 10/02/15 10:38:14 | 60   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.284          | 0.274         |
| 258157:4449 | 10/02/15 14:07:10 | 56   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.374          | 0.364         |
| 258158:4449 | 10/02/15 14:33:52 | 1786 | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 8.234          | 8.024         |
| 258159:4449 | 10/03/15 02:09:44 | 501  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.975          | 1.932         |
| 258177:4452 | 10/03/15 20:21:28 | 2120 | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 9.064          | 8.837         |
| 258211:4455 | 10/04/15 16:54:29 | 87   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.004          | 0.003         |
| 258213:4455 | 10/04/15 17:32:20 | 165  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.849          | 0.827         |
| 258214:4455 | 10/04/15 18:38:59 | 217  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.200          | 1.170         |
| 258215:4455 | 10/04/15 20:07:49 | 6    | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.032          | 0.032         |
| 258287:4462 | 10/05/15 15:44:45 | 180  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.061          | 1.019         |
| 258403:4466 | 10/06/15 14:10:07 | 251  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.165          | 1.139         |
| 258425:4467 | 10/06/15 18:50:09 | 134  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.817          | 0.782         |
| 258426:4467 | 10/06/15 20:00:12 | 10   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.059          | 0.058         |
| 258427:4467 | 10/06/15 20:06:18 | 107  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.629          | 0.607         |
| 258428:4467 | 10/06/15 20:54:17 | 324  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.832          | 1.786         |
| 258432:4467 | 10/06/15 23:04:32 | 4    | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.022          | 0.021         |
| 258434:4467 | 10/06/15 23:11:39 | 453  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.389          | 2.332         |
| 258440:4467 | 10/07/15 02:10:32 | 731  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 3.494          | 3.404         |
| 258443:4467 | 10/07/15 07:04:45 | 291  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.297          | 1.266         |
| 258444:4467 | 10/07/15 09:00:44 | 130  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.562          | 0.550         |
| 258445:4467 | 10/07/15 09:52:47 | 302  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.268          | 1.241         |
| 258446:4467 | 10/07/15 11:52:39 | 142  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.576          | 0.565         |
| 258448:4467 | 10/07/15 12:53:07 | 730  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.751          | 2.692         |
| 258655:4476 | 10/09/15 11:20:05 | 9    | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.033          | 0.017         |
| 258656:4476 | 10/09/15 11:24:46 | 334  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.851          | 1.792         |
| 258694:4477 | 10/09/15 19:55:27 | 177  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.728          | 0.692         |
| 258702:4479 | 10/10/15 07:31:21 | 351  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.371          | 1.316         |
| 258703:4479 | 10/10/15 09:48:30 | 475  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.308          | 2.240         |
| 258705:4479 | 10/10/15 13:01:34 | 100  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.604          | 0.587         |
| 258706:4479 | 10/10/15 13:44:18 | 733  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 4.113          | 4.007         |
| 258712:4479 | 10/10/15 18:36:26 | 524  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.707          | 2.637         |
| 258713:4479 | 10/10/15 22:03:19 | 161  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.795          | 0.776         |
| 258714:4479 | 10/10/15 23:06:33 | 67   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.326          | 0.319         |
| 258741:4485 | 10/11/15 15:12:30 | 51   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.221          | 0.204         |
| 258742:4485 | 10/11/15 15:37:24 | 692  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.814          | 2.724         |
| 258745:4485 | 10/11/15 20:12:22 | 260  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.979          | 0.951         |
| 258749:4485 | 10/11/15 22:08:51 | 604  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.103          | 2.053         |
| 258750:4485 | 10/12/15 02:08:14 | 197  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.807          | 0.789         |
| 259626:4518 | 10/20/15 04:22:04 | 353  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.627          | 1.608         |
| 259637:4519 | 10/20/15 11:55:23 | 221  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.155          | 1.127         |
| 259681:4522 | 10/21/15 02:10:07 | 35   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.147          | 0.084         |
| 259682:4522 | 10/21/15 02:45:58 | 4    | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.016          | 0.010         |
| 259683:4522 | 10/21/15 02:50:56 | 90   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.345          | 0.330         |
| 259685:4522 | 10/21/15 03:31:12 | 625  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 3.018          | 2.927         |
| 259686:4522 | 10/21/15 07:40:55 | 336  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.012          | 1.955         |
| 259721:4525 | 10/21/15 21:49:33 | 336  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.836          | 1.783         |
| 259809:4528 | 10/23/15 01:19:55 | 170  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.623          | 0.599         |
| 259810:4528 | 10/23/15 02:27:57 | 116  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.444          | 0.433         |
| 259811:4528 | 10/23/15 03:14:40 | 91   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.569          | 0.546         |
| 259813:4528 | 10/23/15 03:55:28 | 10   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.062          | 0.053         |
| 259817:4528 | 10/23/15 04:12:46 | 5    | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.031          | 0.026         |
| 259818:4528 | 10/23/15 04:16:25 | 160  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.971          | 0.944         |
| 259820:4528 | 10/23/15 05:28:06 | 158  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.765          | 0.738         |
| 259821:4528 | 10/23/15 06:36:07 | 210  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.192          | 1.156         |
| 259822:4528 | 10/23/15 08:06:27 | 463  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.568          | 1.532         |
| 259861:4530 | 10/23/15 22:04:22 | 154  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.598          | 0.580         |
| 259862:4530 | 10/23/15 23:06:58 | 532  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.657          | 2.575         |
| 259884:4532 | 10/24/15 16:31:58 | 80   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.380          | 0.360         |
| 259890:4532 | 10/24/15 17:20:01 | 109  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.673          | 0.647         |
| 259891:4532 | 10/24/15 18:06:49 | 108  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.714          | 0.686         |
| 260373:4555 | 10/30/15 10:18:37 | 362  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.602          | 1.569         |
| 260424:4557 | 10/30/15 18:40:06 | 670  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.894          | 2.796         |
| 260425:4557 | 10/30/15 23:06:36 | 287  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.153          | 1.118         |
| 260426:4557 | 10/31/15 01:02:23 | 504  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.898          | 1.849         |
| 260427:4557 | 10/31/15 04:25:46 | 285  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.564          | 1.514         |
| 260431:4557 | 10/31/15 06:31:22 | 447  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.578          | 2.509         |
| 260528:4560 | 11/01/15 04:10:17 | 25   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.000          | 0.000         |
| 260532:4560 | 11/01/15 04:25:51 | 746  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 3.148          | 3.058         |
| 260533:4560 | 11/01/15 09:24:23 | 14   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.091          | 0.085         |
| 260534:4560 | 11/01/15 09:34:18 | 375  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.358          | 2.289         |
| 260536:4560 | 11/01/15 12:11:50 | 185  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.110          | 1.081         |
| 260538:4560 | 11/01/15 13:29:58 | 284  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.643          | 1.598         |
| 260541:4560 | 11/01/15 15:25:55 | 24   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.136          | 0.131         |
| 260575:4562 | 11/01/15 21:37:56 | 20   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.080          | 0.072         |
| 260576:4562 | 11/01/15 21:49:30 | 464  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 2.284          | 2.148         |
| 260577:4562 | 11/02/15 00:53:22 | 76   | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 0.358          | 0.344         |
| 260593:4565 | 11/02/15 08:42:24 | 337  | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 1.585          | 1.496         |
| 260627:4569 | 11/02/15 19:06:16 | 1749 | HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2 | 7.182          | 6.906         |
| 254227:4201 | 08/13/15 03:37:31 | 180  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.242          | 0.238         |
| 254231:4201 | 08/13/15 05:14:40 | 24   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.033          | 0.033         |
| 254232:4201 | 08/13/15 05:43:48 | 81   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.110          | 0.109         |
| 254790:4243 | 08/21/15 05:24:04 | 690  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.338          | 2.283         |
| 254852:4249 | 08/22/15 13:46:23 | 48   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.161          | 0.157         |
| 254879:4254 | 08/23/15 03:34:41 | 88   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.379          | 0.360         |
| 254905:4256 | 08/23/15 15:00:41 | 204  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.644          | 0.622         |
| 254906:4256 | 08/23/15 16:23:48 | 75   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.228          | 0.224         |
| 254907:4256 | 08/23/15 16:55:45 | 52   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.156          | 0.153         |
| 254914:4257 | 08/23/15 21:02:20 | 46   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.010          | 0.009         |
| 256630:4376 | 09/16/15 12:20:57 | 22   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.078          | 0.073         |
| 256673:4381 | 09/17/15 01:46:10 | 2    | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.007          | 0.000         |
| 256674:4381 | 09/17/15 01:47:46 | 2    | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.007          | 0.007         |
| 256675:4381 | 09/17/15 01:50:18 | 162  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.568          | 0.552         |
| 256676:4381 | 09/17/15 02:55:57 | 1086 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 3.394          | 3.241         |
| 256677:4381 | 09/17/15 09:59:03 | 479  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.317          | 1.163         |
| 256729:4384 | 09/17/15 20:25:30 | 1728 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 5.185          | 5.011         |
| 256734:4384 | 09/18/15 08:06:26 | 213  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.552          | 0.538         |
| 256801:4386 | 09/18/15 16:00:07 | 191  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.687          | 0.664         |
| 256842:4391 | 09/19/15 06:58:19 | 2    | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.007          | 0.001         |
| 256843:4391 | 09/19/15 07:02:10 | 1320 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 3.899          | 3.792         |
| 256866:4393 | 09/19/15 22:02:52 | 14   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.054          | 0.004         |
| 256867:4393 | 09/19/15 22:11:45 | 94   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.617          | 0.600         |
| 256868:4393 | 09/19/15 22:55:07 | 487  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 3.125          | 3.003         |
| 256869:4393 | 09/20/15 02:07:40 | 34   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.118          | 0.115         |
| 256926:4397 | 09/20/15 19:09:17 | 31   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.122          | 0.113         |
| 256936:4398 | 09/21/15 02:42:09 | 669  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.355          | 2.270         |
| 256941:4398 | 09/21/15 07:30:01 | 290  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.918          | 0.891         |
| 257394:4410 | 09/24/15 02:14:13 | 32   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.136          | 0.124         |
| 257395:4410 | 09/24/15 02:28:44 | 13   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.055          | 0.053         |
| 257396:4410 | 09/24/15 02:38:46 | 216  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.889          | 0.849         |
| 257397:4410 | 09/24/15 04:06:57 | 119  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.473          | 0.455         |
| 257399:4410 | 09/24/15 05:12:49 | 271  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.034          | 1.001         |
| 257400:4410 | 09/24/15 07:03:56 | 1224 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 4.073          | 3.911         |
| 257461:4418 | 09/25/15 05:51:21 | 52   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.193          | 0.185         |
| 257487:4420 | 09/25/15 11:49:47 | 1075 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 5.015          | 4.860         |
| 257490:4420 | 09/25/15 18:55:00 | 636  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.554          | 2.487         |
| 257531:4423 | 09/26/15 09:37:19 | 135  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.671          | 0.639         |
| 257599:4426 | 09/26/15 21:47:23 | 77   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.397          | 0.377         |
| 257613:4428 | 09/27/15 04:26:52 | 1294 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 5.914          | 5.739         |
| 257614:4428 | 09/27/15 12:52:08 | 16   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.066          | 0.064         |
| 257645:4432 | 09/27/15 23:26:52 | 1060 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 4.874          | 4.742         |
| 257682:4434 | 09/28/15 11:59:23 | 301  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.049          | 1.984         |
| 257722:4435 | 09/28/15 17:20:59 | 19   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.137          | 0.125         |
| 257723:4435 | 09/28/15 17:31:51 | 142  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.003          | 0.917         |
| 257735:4435 | 09/28/15 22:05:27 | 15   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.073          | 0.071         |
| 257751:4437 | 09/29/15 04:53:56 | 463  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.120          | 2.064         |
| 257804:4440 | 09/29/15 13:35:04 | 17   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.122          | 0.021         |
| 257805:4440 | 09/29/15 13:49:01 | 249  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.339          | 1.299         |
| 257816:4440 | 09/29/15 15:33:56 | 385  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.903          | 1.845         |
| 257819:4440 | 09/29/15 18:11:51 | 248  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.185          | 1.148         |
| 257822:4440 | 09/29/15 20:00:34 | 1388 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 5.818          | 5.664         |
| 257823:4440 | 09/30/15 05:05:37 | 171  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.645          | 0.627         |
| 257968:4444 | 09/30/15 23:42:22 | 258  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.326          | 1.282         |
| 257969:4444 | 10/01/15 01:24:08 | 634  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 3.059          | 2.983         |
| 258129:4448 | 10/02/15 09:56:47 | 95   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.459          | 0.440         |
| 258136:4448 | 10/02/15 10:38:14 | 60   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.284          | 0.274         |
| 258157:4449 | 10/02/15 14:07:10 | 56   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.374          | 0.364         |
| 258158:4449 | 10/02/15 14:33:52 | 1786 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 8.234          | 8.024         |
| 258159:4449 | 10/03/15 02:09:44 | 501  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.975          | 1.932         |
| 258177:4452 | 10/03/15 20:21:28 | 2120 | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 9.064          | 8.837         |
| 258211:4455 | 10/04/15 16:54:29 | 87   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.072          | 0.069         |
| 258213:4455 | 10/04/15 17:32:20 | 165  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.857          | 0.835         |
| 258214:4455 | 10/04/15 18:38:59 | 217  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.200          | 1.170         |
| 258215:4455 | 10/04/15 20:07:49 | 6    | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.032          | 0.032         |
| 258287:4462 | 10/05/15 15:44:45 | 180  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.061          | 1.019         |
| 258403:4466 | 10/06/15 14:10:07 | 251  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.171          | 1.145         |
| 258425:4467 | 10/06/15 18:50:09 | 134  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.817          | 0.782         |
| 258426:4467 | 10/06/15 20:00:12 | 10   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.059          | 0.058         |
| 258427:4467 | 10/06/15 20:06:18 | 107  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.629          | 0.607         |
| 258428:4467 | 10/06/15 20:54:17 | 324  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.832          | 1.786         |
| 258432:4467 | 10/06/15 23:04:32 | 4    | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.022          | 0.021         |
| 258434:4467 | 10/06/15 23:11:39 | 453  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.389          | 2.332         |
| 258440:4467 | 10/07/15 02:10:32 | 731  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 3.494          | 3.404         |
| 258443:4467 | 10/07/15 07:04:45 | 291  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.297          | 1.266         |
| 258444:4467 | 10/07/15 09:00:44 | 130  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.562          | 0.550         |
| 258445:4467 | 10/07/15 09:52:47 | 302  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.268          | 1.241         |
| 258446:4467 | 10/07/15 11:52:39 | 142  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.576          | 0.565         |
| 258448:4467 | 10/07/15 12:53:07 | 730  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.751          | 2.692         |
| 258655:4476 | 10/09/15 11:20:05 | 9    | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.032          | 0.016         |
| 258656:4476 | 10/09/15 11:24:46 | 334  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.841          | 1.782         |
| 258694:4477 | 10/09/15 19:55:27 | 177  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.698          | 0.665         |
| 258702:4479 | 10/10/15 07:31:21 | 351  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.316          | 1.264         |
| 258703:4479 | 10/10/15 09:48:30 | 475  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.269          | 2.202         |
| 258705:4479 | 10/10/15 13:01:34 | 100  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.604          | 0.587         |
| 258706:4479 | 10/10/15 13:44:18 | 733  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 4.113          | 4.007         |
| 258712:4479 | 10/10/15 18:36:26 | 524  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.707          | 2.637         |
| 258713:4479 | 10/10/15 22:03:19 | 161  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.795          | 0.776         |
| 258714:4479 | 10/10/15 23:06:33 | 67   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.326          | 0.319         |
| 258741:4485 | 10/11/15 15:12:30 | 51   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.212          | 0.196         |
| 258742:4485 | 10/11/15 15:37:24 | 692  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.701          | 2.615         |
| 258745:4485 | 10/11/15 20:12:22 | 260  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.940          | 0.913         |
| 258749:4485 | 10/11/15 22:08:51 | 604  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.018          | 1.971         |
| 258750:4485 | 10/12/15 02:08:14 | 197  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.781          | 0.763         |
| 259626:4518 | 10/20/15 04:22:04 | 353  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.633          | 1.612         |
| 259637:4519 | 10/20/15 11:55:23 | 221  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.157          | 1.129         |
| 259681:4522 | 10/21/15 02:10:07 | 35   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.141          | 0.080         |
| 259682:4522 | 10/21/15 02:45:58 | 4    | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.016          | 0.010         |
| 259683:4522 | 10/21/15 02:50:56 | 90   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.331          | 0.317         |
| 259685:4522 | 10/21/15 03:31:12 | 625  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.956          | 2.866         |
| 259686:4522 | 10/21/15 07:40:55 | 336  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 2.012          | 1.955         |
| 259721:4525 | 10/21/15 21:49:33 | 336  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 1.836          | 1.783         |
| 259809:4528 | 10/23/15 01:19:55 | 170  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.598          | 0.575         |
| 259810:4528 | 10/23/15 02:27:57 | 116  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.428          | 0.416         |
| 259811:4528 | 10/23/15 03:14:40 | 91   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.569          | 0.546         |
| 259813:4528 | 10/23/15 03:55:28 | 10   | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.062          | 0.053         |
| 259817:4528 | 10/23/15 04:12:46 | 5    | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.031          | 0.026         |
| 259818:4528 | 10/23/15 04:16:25 | 160  | HLT_Dimuon0er16_Jpsi_NoVertexing_v2      | 0.971          | 0.944         |
