#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                  | delivered(/pb) | recorded(/pb) |
| 257751:4437 | 09/29/15 04:53:56 | 463  | HLT_Dimuon0_Jpsi_Muon_v2                 | 29.680         | 28.892        |
| 257804:4440 | 09/29/15 13:35:04 | 17   | HLT_Dimuon0_Jpsi_Muon_v2                 | 1.317          | 0.226         |
| 257805:4440 | 09/29/15 13:49:01 | 249  | HLT_Dimuon0_Jpsi_Muon_v2                 | 18.741         | 18.192        |
| 257816:4440 | 09/29/15 15:33:56 | 385  | HLT_Dimuon0_Jpsi_Muon_v2                 | 26.638         | 25.831        |
| 257819:4440 | 09/29/15 18:11:51 | 248  | HLT_Dimuon0_Jpsi_Muon_v2                 | 16.591         | 16.070        |
| 257822:4440 | 09/29/15 20:00:34 | 1388 | HLT_Dimuon0_Jpsi_Muon_v2                 | 81.451         | 79.302        |
| 257823:4440 | 09/30/15 05:05:37 | 171  | HLT_Dimuon0_Jpsi_Muon_v2                 | 9.030          | 8.785         |
| 257968:4444 | 09/30/15 23:42:22 | 258  | HLT_Dimuon0_Jpsi_Muon_v2                 | 18.565         | 17.948        |
| 257969:4444 | 10/01/15 01:24:08 | 634  | HLT_Dimuon0_Jpsi_Muon_v2                 | 42.819         | 41.763        |
| 258129:4448 | 10/02/15 09:56:47 | 95   | HLT_Dimuon0_Jpsi_Muon_v2                 | 6.427          | 6.161         |
| 258136:4448 | 10/02/15 10:38:14 | 60   | HLT_Dimuon0_Jpsi_Muon_v2                 | 3.982          | 3.834         |
| 258157:4449 | 10/02/15 14:07:10 | 56   | HLT_Dimuon0_Jpsi_Muon_v2                 | 4.247          | 4.130         |
| 258158:4449 | 10/02/15 14:33:52 | 1786 | HLT_Dimuon0_Jpsi_Muon_v2                 | 115.280        | 112.331       |
| 258159:4449 | 10/03/15 02:09:44 | 501  | HLT_Dimuon0_Jpsi_Muon_v2                 | 27.649         | 27.042        |
| 258177:4452 | 10/03/15 20:21:28 | 2120 | HLT_Dimuon0_Jpsi_Muon_v2                 | 126.897        | 123.717       |
| 258211:4455 | 10/04/15 16:54:29 | 87   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.072          | 0.069         |
| 258213:4455 | 10/04/15 17:32:20 | 165  | HLT_Dimuon0_Jpsi_Muon_v2                 | 11.888         | 11.576        |
| 258214:4455 | 10/04/15 18:38:59 | 217  | HLT_Dimuon0_Jpsi_Muon_v2                 | 16.794         | 16.374        |
| 258215:4455 | 10/04/15 20:07:49 | 6    | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.455          | 0.444         |
| 258287:4462 | 10/05/15 15:44:45 | 180  | HLT_Dimuon0_Jpsi_Muon_v2                 | 14.851         | 14.271        |
| 258403:4466 | 10/06/15 14:10:07 | 251  | HLT_Dimuon0_Jpsi_Muon_v2                 | 16.310         | 15.948        |
| 258425:4467 | 10/06/15 18:50:09 | 134  | HLT_Dimuon0_Jpsi_Muon_v2                 | 11.442         | 10.949        |
| 258426:4467 | 10/06/15 20:00:12 | 10   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.831          | 0.809         |
| 258427:4467 | 10/06/15 20:06:18 | 107  | HLT_Dimuon0_Jpsi_Muon_v2                 | 8.809          | 8.498         |
| 258428:4467 | 10/06/15 20:54:17 | 324  | HLT_Dimuon0_Jpsi_Muon_v2                 | 25.652         | 25.004        |
| 258432:4467 | 10/06/15 23:04:32 | 4    | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.306          | 0.299         |
| 258434:4467 | 10/06/15 23:11:39 | 453  | HLT_Dimuon0_Jpsi_Muon_v2                 | 33.448         | 32.645        |
| 258440:4467 | 10/07/15 02:10:32 | 731  | HLT_Dimuon0_Jpsi_Muon_v2                 | 48.914         | 47.655        |
| 258443:4467 | 10/07/15 07:04:45 | 291  | HLT_Dimuon0_Jpsi_Muon_v2                 | 18.162         | 17.718        |
| 258444:4467 | 10/07/15 09:00:44 | 130  | HLT_Dimuon0_Jpsi_Muon_v2                 | 7.870          | 7.705         |
| 258445:4467 | 10/07/15 09:52:47 | 302  | HLT_Dimuon0_Jpsi_Muon_v2                 | 17.747         | 17.379        |
| 258446:4467 | 10/07/15 11:52:39 | 142  | HLT_Dimuon0_Jpsi_Muon_v2                 | 8.068          | 7.907         |
| 258448:4467 | 10/07/15 12:53:07 | 730  | HLT_Dimuon0_Jpsi_Muon_v2                 | 38.519         | 37.691        |
| 258655:4476 | 10/09/15 11:20:05 | 9    | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.800          | 0.412         |
| 258656:4476 | 10/09/15 11:24:46 | 334  | HLT_Dimuon0_Jpsi_Muon_v2                 | 28.462         | 27.562        |
| 258694:4477 | 10/09/15 19:55:27 | 177  | HLT_Dimuon0_Jpsi_Muon_v2                 | 17.462         | 16.613        |
| 258702:4479 | 10/10/15 07:31:21 | 351  | HLT_Dimuon0_Jpsi_Muon_v2                 | 32.910         | 31.593        |
